uuid,title,category,abstract,link,data_source,gattered_datetime,crawler_datetime,any_category
ba31f20c-97ec-4b32-825e-19d7a8d83ae5,Young Chinese flock to ‘academic pubs’ as space for free expression shrinks,area-world,China’s “academic pubs” are serving up a free flow of conversation in a country well known for its censorship.,https://www.cnn.com/2024/11/15/china/china-academic-pubs-intl-hnk/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:49,YES
d58b2b54-e7b2-4d6e-b5cd-5fb12090db31,"Rudy Giuliani turns over his 1980 Mercedes-Benz convertible, luxury watch collection and a diamond ring to women he defamed",politics,"Rudy Giuliani has turned over his 1980 Mercedes-Benz convertible, his luxury watch collection and a diamond ring, marking a partial end to a saga where the former mayor of New York City has tried to outrun the court system as two ...",https://www.cnn.com/2024/11/15/politics/rudy-giuliani-debt-collection-election-worker-defamation/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:49,YES
d28b14d3-d611-4ba9-92e8-7595eb887320,Trump’s transition team caught off guard by Hegseth allegation,politics,"President-elect Donald Trump’s transition team was in the middle of announcing new Cabinet picks this week when they were informed of a sexual assault allegation about one of his previous selections, Pete Hegseth, stunning several ...",https://www.cnn.com/2024/11/15/politics/trump-transition-hegseth-allegations/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:49,YES
20812fe2-709e-465c-aac0-25670bf0480a,"Israel’s war conduct in Gaza ‘consistent with the characteristics of genocide,’ UN Special Committee finds",area-world,"The committee added that Israeli officials have publicly supported policies to destroy “vital water, sanitation and food systems” in Gaza as well as prevent access to fuel. Israel has previously rejected accusations of genocide in the ...",https://www.cnn.com/2024/11/15/middleeast/israel-gaza-genocide-un-special-committee-intl-latam/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:49,YES
d467c530-8591-4615-87f5-2f88ef558910,Pittsburgh Pirates offer outrageous trade for one-of-a-kind Paul Skenes baseball card,sports,"Like Willy Wonka’s famous golden ticket, the Pirates are offering a scrumdiddlyumptious prize in exchange for a rare, one-of-a-kind baseball card of their star pitcher Paul Skenes. His famed girlfriend, Livvy Dunne, has upped the ...",https://www.cnn.com/2024/11/15/sport/pittsburgh-pirates-paul-skenes-baseball-card-spt-intl/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:49,YES
2bd64baa-4e7d-4403-b676-c976a3e3f349,I built a $500 Arcade1Up machine in my living room — was it worth it?,politics,Our arcade-obsessed editor spent two weeks with the new Arcade1Up NBA Jam Deluxe machine to see if this popular home arcade brand is as good as the real thing.,https://www.cnn.com/cnn-underscored/electronics/arcade1up-machines-worth-it,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:49,YES
eff4fcc1-18c0-4cdf-9c81-d9e966a41fb2,Tons of top-tested Garmin smartwatches just hit their lowest prices yet on Amazon,shopping,"Garmin smartwatches are a fixture among fitness enthusiasts, and now dozens of our experts’ favorites are hundreds off during the brand’s holiday sale.",https://www.cnn.com/cnn-underscored/deals/garmin-watch-holiday-sale-2024-11-15,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:49,YES
206ba59f-da85-450d-b37d-e970fd7cd032,World’s best cheese for 2024 is revealed,travel,"A soft, raw ewes’ milk cheese from Portugal is named the 2024 winner after judges chomped their way through more than 4,700 different dairy products at a pungent annual contest to crown the champion cheese.",https://www.cnn.com/travel/worlds-best-cheese-2024-portugal/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:49,YES
c3ae2ee1-bca5-46cc-85f5-9b134525b465,I ditched my AirTag for Twelve South’s new PlugBug Travel charger with Find My tracking,politics,"Twelve South is now officially launching its newest charger, the PlugBug Travel edition, with Apple Find My tracking.",https://www.cnn.com/cnn-underscored/electronics/twelve-south-plugbug-travel,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:49,YES
7934bd45-ebb7-49e8-8894-f4cdfb4f6e3a,"A Texas death row inmate is ‘actually innocent’ of her toddler’s murder and her conviction should be overturned, judge finds",area-world,"Melissa Lucio was two days away from being put to death in Texas for the murder of her 2-year-old daughter when an appeals court intervened in 2022. Now, a judge says Lucio never committed the crime at all.",https://www.cnn.com/2024/11/15/us/melissa-lucio-texas-death-row/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:49,YES
cc1c2259-e7b2-4b22-a69b-51b80a1c4641,Zelensky accuses German chancellor of opening ‘Pandora’s box’ with Putin,area-world,Chancellor Olaf Scholz spoke with Russian President Vladimir Putin on Friday for the first time in nearly two years as the German leader gears up for a snap election and Europe waits to hear Donald Trump’s plan for ending the war in Ukraine.,https://www.cnn.com/2024/11/15/europe/germany-scholz-russia-putin-call-ukraine-intl-latam/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:52,YES
7819ee00-2cfa-459e-8f74-0e70a299d905,"Want to live an extra 5 to 10 years? Adopt this habit, study suggests",health,"Becoming as active as the top 25% of the US population could extend your life expectancy, a new study has found.",https://www.cnn.com/2024/11/15/health/physical-activity-extend-life-expectancy-wellness/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:52,YES
b78ecd2c-4a60-4e37-8ae3-85ff688aae3f,REI’s latest sale takes up to 30% off editor-approved winter essentials,shopping,"REI is a one-stop-shop for everything outdoors, and right now the Co-op is having a huge winter sale. Shop men’s and women’s apparel at up to 30% off — and whether you’re looking for yourself or getting a head start on holiday gifting, ...",https://www.cnn.com/cnn-underscored/deals/rei-winter-sale-2024-11-15,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:52,YES
d7edf3d9-bdc3-4482-80b2-3305cb4efe2d,"From Christmas content to a crime thriller, here’s what to watch this weekend",entertainment,"If you are someone who doesn’t want to even think about Christmas until after Thanksgiving, apologies in advance.",https://www.cnn.com/2024/11/15/entertainment/what-to-watch-this-weekend/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:53,YES
